Tag,Value
ImageWidth,3072
ImageLength,4080
ImageDescription,nan
Make,realme
Model,realme 12x 5G
Orientation,1
YCbCrPositioning,2
XResolution,72.0
YResolution,72.0
544,0
545,0
546,0
547,0
548,0
549,nan
ResolutionUnit,2
ExifOffset,450
Software,MediaTek Camera Application
DateTime,2025:07:28 14:54:06
ExifVersion,0220
ComponentsConfiguration,
ShutterSpeedValue,4.643
DateTimeOriginal,2025:07:28 14:54:06
DateTimeDigitized,2025:07:28 14:54:06
ApertureValue,1.69
BrightnessValue,4.4
ExposureBiasValue,0.0
MaxApertureValue,1.69
MeteringMode,2
LightSource,255
Flash,16
FocalLength,4.05
UserComment,nan
ColorSpace,1
ExifImageWidth,3072
SubsecTime,286
OffsetTimeOriginal,+05:30
SubsecTimeOriginal,286
SubsecTimeDigitized,286
ExifImageHeight,4080
SensingMethod,0
ExposureTime,0.039997
ExifInteroperabilityOffset,1943
FNumber,1.8
ExposureProgram,0
ISOSpeedRatings,800
ExposureMode,0
FlashPixVersion,0100
SensitivityType,0
WhiteBalance,0
RecommendedExposureIndex,0
DigitalZoomRatio,1.0
FocalLengthIn35mmFilm,26
SceneCaptureType,0
MakerNote,"{""nightFlag"":""0"",""nightMode"":""0"",""iso"":""0"",""expTime"":""0"",""featuretype"":""28"",""hdrscope"":""63"",""aiDeblur"":""0""}"
